eval_id,x,hub,f1,f2,f3,g1,g2,feasible
53,"[np.float64(0.43132345380885195), np.float64(0.33099943817048805), np.float64(0.7559488323569789), np.float64(0.11610473609591099), np.float64(0.8880321199869642), np.float64(0.5914192820348003), np.float64(0.4112686884886242), np.float64(0.17072977658825428), np.float64(0.6974639333086391), np.float64(0.8796672522975737)]","[0.7831381598861666, 1.161703159463219]",-45.647621154785156,0.7,3113.400457425079,-91.66607698869865,0.0,1
54,"[np.float64(0.4171774343880905), np.float64(0.9108220921659664), np.float64(0.7464710369587361), np.float64(0.5101225863270002), np.float64(0.7424842116732404), np.float64(0.3532556606165881), np.float64(0.43070700374480275), np.float64(0.4970226157004175), np.float64(0.7076778979003703), np.float64(0.3356970836114517)]","[0.2745231222481424, 1.2628433756278878]",-27.55997657775879,0.034,2640.0913468637877,-16.95528978813769,0.0,1
55,"[np.float64(0.5118814273652947), np.float64(0.8573010008865969), np.float64(0.3995968392250302), np.float64(0.841486558403682), np.float64(0.38328936307170336), np.float64(0.8851177060251493), np.float64(0.19316997569865946), np.float64(0.5257783000795696), np.float64(0.8267136201588152), np.float64(0.7065846822128775)]","[0.7768996649034982, 1.1214802796391583]",-35.65608215332031,0.052,2673.0646242012663,-50.56414592745085,0.0,1
56,"[np.float64(0.3151851034187104), np.float64(0.8929563307131257), np.float64(0.3987189364419349), np.float64(0.7115105508132997), np.float64(0.8270938070133592), np.float64(0.47403622225949027), np.float64(0.8166440705290728), np.float64(0.6823799448443975), np.float64(0.40168496892501016), np.float64(0.4653517170757224)]","[0.9578187796514454, 1.022905556360409]",-41.051124572753906,0.1,2221.531749737349,32.07200877485786,0.0,0
57,"[np.float64(0.28353426632010625), np.float64(0.6181307496852578), np.float64(0.21800593004626811), np.float64(0.054731143300722596), np.float64(0.07482644255422188), np.float64(0.8310576876132559), np.float64(0.6052685945074544), np.float64(0.25396254580418), np.float64(0.662682068619064), np.float64(0.7401312499629299)]","[0.12544147718602344, 1.3981236128673569]",-25.698808670043945,1.0,2900.19980293184,118.64511945326655,0.0,0
58,"[np.float64(0.12499955865727308), np.float64(0.7854702016115908), np.float64(0.4115541827996497), np.float64(0.70006605596892), np.float64(0.8122050151262458), np.float64(0.14566874185476875), np.float64(0.3015314021630472), np.float64(0.4100234308800571), np.float64(0.47233225860496875), np.float64(0.4959391441876757)]","[0.6268693741886016, 1.0260262331786394]",-39.40675735473633,0.644,2581.8112181704896,61.00720955656993,0.0,0
59,"[np.float64(0.0043001907504852666), np.float64(0.4038284511492043), np.float64(0.8276226232184107), np.float64(0.25882907767580354), np.float64(0.012996611642042799), np.float64(0.3953518057604567), np.float64(0.6710113104026503), np.float64(0.8848800971002195), np.float64(0.8398657742651049), np.float64(0.4965961443363097)]","[0.19305252710204918, 1.293728501037669]",-28.295804977416992,1.0,2799.486395175976,82.63978797527867,0.0,0
60,"[np.float64(0.4493700221843081), np.float64(0.16238519618917013), np.float64(0.7747330486829124), np.float64(0.9269667072846148), np.float64(0.531556426498312), np.float64(0.5928292560660468), np.float64(0.14533662442438278), np.float64(0.38245569953067815), np.float64(0.06655933206506481), np.float64(0.7572363648024241)]","[0.7886019493535044, 1.0226511506319818]",-46.30073547363281,0.446,3038.325827274841,-54.33871401898148,0.0,1
61,"[np.float64(0.5329964905168298), np.float64(0.9523085496828213), np.float64(0.7768585578074371), np.float64(0.365580543517224), np.float64(0.7741195095586619), np.float64(0.30174696680193824), np.float64(0.2788153200698916), np.float64(0.5718454658466616), np.float64(0.37478364972859823), np.float64(0.5888790694642251)]","[0.9591271980466012, 1.0618171394810878]",-41.67155075073242,0.063,2355.2782832422663,223.24625219508076,0.0,0
62,"[np.float64(0.8492845872814717), np.float64(0.28834976811030466), np.float64(0.8248313523805849), np.float64(0.021192485967230446), np.float64(0.061240492509463396), np.float64(0.5531682306732453), np.float64(0.7934942679678835), np.float64(0.9798728902634072), np.float64(0.5070309916890025), np.float64(0.4962855255378299)]","[0.6855269659327039, 1.0204341015164433]",-56.664669036865234,1.0,2409.0532388967085,182.89312856107813,0.0,0
