eval_id,x,order,f1,f2,f3,g1,g2,feasible
44,"[0.9135574948245628, 0.36302291021882294, 0.9849177361808987, 0.45062030455312385, 0.8839166889177743, 0.6779878913864622, 0.325941754506874, 0.919843482939394, 0.18864226066951384, 0.7834760135634458]","[1, 2, 5, 4, 3, [1.197365428828891, 1.236203897459209]]",-38.273098,0.065,6024.139960604517,69.37955899671121,1,0
45,"[0.6181411186030507, 0.7838942388412997, 0.9652715952052018, 0.5731176522273688, 0.8991219949452485, 0.3454506944316086, 0.08358138501672463, 0.2925894176645858, 0.7639528362327235, 0.3460192100201618]","[4, 2, 3, 1, 5, [1.283608071717265, 1.0668087830654844]]",-40.901646,0.007,3989.071678025663,110.28071843538999,1,0
46,"[0.9265248078386629, 0.1740381427279567, 0.2134659802887524, 0.7452875123542049, 0.4794895836454278, 0.42659355263191245, 0.4514844017495727, 0.6626746105944632, 0.6271364354227104, 0.27808213916105795]","[2, 1, 3, 5, 4, [1.1687728748193662, 1.0587780869414767]]",-40.80973,0.392,5959.69173918654,-106.06166280758117,1,0
47,"[0.395242611849314, 0.41696944558558013, 0.2947992900841804, 0.4080216951673038, 0.2397975023226233, 0.47582478038862475, 0.09364292742924529, 0.6490437311120101, 0.38643340171202334, 0.11601659747069026]","[2, 3, 1, 5, 4, [1.0917165049051252, 1.063846111323928]]",-18.188482,0.209,4435.129826040028,101.50119536746368,0,0
48,"[0.1797630242353846, 0.2626270336860689, 0.12681358442752133, 0.7737507809661417, 0.09370011083668284, 0.9704871457638207, 0.48231933382937264, 0.3708727946010292, 0.8710318387730304, 0.334756342507187]","[4, 2, 1, 5, 3, [1.4077444434588622, 1.1285091709421533]]",-38.633236,0.848,4186.796281377183,170.33584651259594,1,0
49,"[0.9144699434259992, 0.13795942108630088, 0.32241158592688246, 0.5721790059082371, 0.4560788771832823, 0.4580657682489617, 0.056653510863577616, 0.5409623614290417, 0.4004186283902845, 0.8009963288337411]","[5, 3, 2, 1, 4, [1.4919861463036483, 1.0320420464684958]]",-36.999702,0.567,5155.319184704996,-225.6524255341775,0,1
50,"[0.3001473982416545, 0.23326588335096532, 0.3349427857935512, 0.32185826610005375, 0.7597592273527575, 0.8117308659832195, 0.10277036394068195, 0.2820415844616395, 0.21100146045276913, 0.6616521962745217]","[1, 5, 3, 2, 4, [1.0476711657732871, 1.1928051552947703]]",-37.49292,0.222,3730.3366987134636,131.60943746324932,1,0
51,"[0.8097574707764895, 0.8780961817775635, 0.9474926842597933, 0.3526608724921443, 0.44728914982992063, 0.06715344390717182, 0.8962785863228805, 0.9060421760001173, 0.16580190725792465, 0.19550540133538374]","[4, 5, 3, 2, 1, [1.3827631140136856, 1.1613738757525]]",-32.329437,0.068,5504.4763028557345,135.20121746498907,0,0
52,"[0.46621537116181444, 0.1319290869465758, 0.030503771854748174, 0.32091372885320246, 0.6661623158646657, 0.4208367879424143, 0.18328019055613387, 0.9344293096490273, 0.16408643631890063, 0.18785484180991519]","[3, 1, 2, 4, 5, [1.3320991298145475, 1.3414176346267674]]",-33.201576,1.0,4972.244357252786,-64.59154113253283,2,0
53,"[0.958183524629539, 0.06843675151005169, 0.2263712608125551, 0.26579787432497315, 0.6744814350221434, 0.8906638725294036, 0.3598619666303362, 0.721233207399606, 0.20037352139512188, 0.37226156612985506]","[1, 5, 4, 3, 2, [1.1249664059559008, 1.429869018293211]]",-36.387386,1.0,4192.375612031842,-170.90887253642882,1,0
54,"[0.05611188096619668, 0.21949253687756842, 0.11988792593472497, 0.11546538102790493, 0.12920268138868019, 0.4632108829129349, 0.7616317289024933, 0.7121850263067983, 0.7866957483448757, 0.5828055710479803]","[1, 5, 4, 3, 2, [1.12050361807091, 1.2388120233862137]]",-7.9711676,1.0,3078.8982633661785,127.59815142368517,0,0
55,"[0.9474969859729474, 0.3592235188232117, 0.717732783534848, 0.1575579082154529, 0.18697926067386694, 0.8382957200708437, 0.569694837158312, 0.3417486895756259, 0.9965702722941584, 0.49834693766619376]","[4, 3, 1, 2, 5, [1.3742714928968396, 1.0246604238288217]]",-40.484734,0.469,5764.995630282827,-58.72456568249402,0,1
56,"[0.2377605940271854, 0.9326163711432172, 0.595088781388382, 0.3838601781488532, 0.10576034255454192, 0.2589175141235225, 0.30207411404235895, 0.9751047047914458, 0.918322505456975, 0.5507459412819896]","[2, 3, 5, 1, 4, [1.3687191061588062, 1.0382235544448346]]",-47.19706,0.76,5419.8608865279,-112.54227066946663,1,0
57,"[0.17130455201562855, 0.5406398515526126, 0.5968373840435519, 0.8680693853504166, 0.26206344869356135, 0.9961043354568483, 0.5447624995747983, 0.3632921326357945, 0.02787612712353249, 0.07750548479308716]","[2, 4, 3, 1, 5, [1.200171866563601, 1.3209709863667987]]",-43.720562,0.4,6245.683234189232,-64.61813200658042,0,1
58,"[0.49240001331938243, 0.35554357558705063, 0.8873577921833112, 0.05474092545764675, 0.4191972360894214, 0.4725287861670989, 0.9752636467437112, 0.8918839199578504, 0.46726943404493726, 0.29989243835797363]","[2, 3, 4, 1, 5, [1.2164324948913927, 1.2634205596612795]]",-66.90202,1.0,5009.932645178027,-60.5222300691637,0,1
59,"[0.7221129069542928, 0.901059151129434, 0.9231690744566938, 0.1729557788169137, 0.03575750687571588, 0.5575956008292319, 0.5774162298310075, 0.3199990463319934, 0.6841806706779922, 0.42512408268881285]","[2, 3, 1, 5, 4, [1.4477884226032234, 1.1315158877841944]]",-54.484844,1.0,3900.296988566043,-48.06465668689174,0,1
60,"[0.06486998376002595, 0.5549051017269707, 0.6934012195187494, 0.6034157178641493, 0.6864692446428712, 0.06492254665068564, 0.480666355685447, 0.25846805199603873, 0.6182426175903881, 0.9542462677614257]","[5, 2, 4, 1, 3, [1.0338306272508442, 1.128204640742022]]",-52.501556,1.0,4092.7456083820903,8.8717638906069,1,0
